                start_time                     end_time   sec_from_start        exposure       rate_3       rate_4       rate_5     rate_sum
                       ---                          ---              ---             ---    70-110keV   110-170keV   170-240keV    70-240keV
                     (UTC)                        (UTC)              (s)             (s)      (cnt/s)      (cnt/s)      (cnt/s)      (cnt/s)
2022-09-26 10:39:27.246334   2022-09-26 10:39:31.246334        167.99998       4.0000000      64.5000      35.7500      20.0000      120.250
2022-09-26 10:39:31.246338   2022-09-26 10:39:35.246338        171.99998       4.0000000      66.0000      42.5000      18.0000      126.500
2022-09-26 10:39:35.246343   2022-09-26 10:39:39.246343        175.99999       4.0000000      65.5000      44.5000      17.2500      127.250
2022-09-26 10:39:39.246347   2022-09-26 10:39:43.246347        179.99999       4.0000000      67.5000      44.2500      22.0000      133.750
2022-09-26 10:39:43.246349   2022-09-26 10:39:47.246349        183.99999       4.0000000      74.2500      56.5000      16.7500      147.500
2022-09-26 10:39:47.246352   2022-09-26 10:39:51.246352        188.00000       4.0000000      77.2500      46.5000      20.5000      144.250
2022-09-26 10:39:51.246355   2022-09-26 10:39:55.246355        192.00000       4.0000000      78.7500      49.5000      17.2500      145.500
2022-09-26 10:39:55.246329   2022-09-26 10:39:59.246329        195.99997       4.0000000      80.0000      44.0000      18.2500      142.250
2022-09-26 10:39:59.246331   2022-09-26 10:40:03.246331        199.99998       4.0000000      84.0000      48.7500      16.5000      149.250
2022-09-26 10:40:03.246335   2022-09-26 10:40:07.246335        203.99998       4.0000000      70.7500      46.0000      18.2500      135.000
2022-09-26 10:40:07.246337   2022-09-26 10:40:11.246337        207.99998       4.0000000      84.0000      52.2500      19.2500      155.500
2022-09-26 10:40:11.246336   2022-09-26 10:40:15.246336        211.99998       4.0000000      80.2500      44.7500      17.5000      142.500
2022-09-26 10:40:15.246334   2022-09-26 10:40:19.246334        215.99998       4.0000000      74.5000      52.5000      18.2500      145.250
2022-09-26 10:40:19.246340   2022-09-26 10:40:23.246340        219.99998       4.0000000      80.5000      51.0000      20.0000      151.500
2022-09-26 10:40:23.246343   2022-09-26 10:40:27.246343        223.99999       4.0000000      79.5000      49.7500      18.7500      148.000
2022-09-26 10:40:27.246346   2022-09-26 10:40:31.246346        227.99999       4.0000000      84.7500      52.7500      15.0000      152.500
2022-09-26 10:40:31.246350   2022-09-26 10:40:35.246350        231.99999       4.0000000      76.7500      45.5000      23.0000      145.250
2022-09-26 10:40:35.246351   2022-09-26 10:40:39.246351        236.00000       4.0000000      83.2500      45.2500      19.5000      148.000
2022-09-26 10:40:39.246355   2022-09-26 10:40:43.246355        240.00000       4.0000000      83.7500      43.0000      20.5000      147.250
2022-09-26 10:40:43.246330   2022-09-26 10:40:47.246330        243.99997       4.0000000      67.2500      41.5000      17.7500      126.500
