                start_time                     end_time   sec_from_start        exposure       rate_3       rate_4       rate_5       rate_6       rate_7       rate_8       rate_9      rate_10      rate_11      rate_12      rate_13      rate_14      rate_15     rate_sum
                       ---                          ---              ---             ---    70-110keV   110-170keV   170-240keV   240-300keV   300-370keV   370-430keV   430-500keV   500-560keV   560-630keV   630-700keV   700-760keV   760-830keV   830-890keV    70-890keV
                     (UTC)                        (UTC)              (s)             (s)      (cnt/s)      (cnt/s)      (cnt/s)      (cnt/s)      (cnt/s)      (cnt/s)      (cnt/s)      (cnt/s)      (cnt/s)      (cnt/s)      (cnt/s)      (cnt/s)      (cnt/s)      (cnt/s)
2022-08-16 00:08:20.006147   2022-08-16 00:08:24.006147        87.999997       4.0000000      94.5000      29.2500      8.75000      3.25000      3.75000      7.75000      8.50000      4.25000     0.250000     0.250000      0.00000      0.00000      0.00000      160.500
2022-08-16 00:08:24.006163   2022-08-16 00:08:28.006163        92.000013       4.0000000      75.5000      27.7500      8.75000      3.25000      3.25000      9.00000      8.50000      3.50000      0.00000      0.00000      0.00000      0.00000      0.00000      139.500
2022-08-16 00:08:28.006150   2022-08-16 00:08:32.006150        96.000000       4.0000000      84.5000      33.2500      11.5000      3.50000      4.00000      10.2500      8.75000      2.50000     0.250000      0.00000      0.00000      0.00000      0.00000      158.500
2022-08-16 00:08:32.006169   2022-08-16 00:08:36.006169        100.00002       4.0000000      97.5000      30.0000      9.75000      6.25000      3.75000      8.50000      10.0000      2.75000      0.00000      0.00000      0.00000      0.00000      0.00000      168.500
2022-08-16 00:08:36.006154   2022-08-16 00:08:40.006154        104.00000       4.0000000      104.000      24.0000      9.50000      4.50000      2.75000      8.25000      11.2500      5.25000      0.00000      0.00000      0.00000      0.00000      0.00000      169.500
2022-08-16 00:08:40.006140   2022-08-16 00:08:44.006140        107.99999       4.0000000      94.5000      33.2500      12.5000      3.25000      5.75000      6.50000      8.75000      2.50000     0.500000      0.00000      0.00000      0.00000      0.00000      167.500
2022-08-16 00:08:44.006159   2022-08-16 00:08:48.006159        112.00001       4.0000000      100.250      32.2500      8.00000      4.00000      4.00000      6.50000      11.2500      3.25000      0.00000      0.00000      0.00000      0.00000      0.00000      169.500
2022-08-16 00:08:48.006145   2022-08-16 00:08:52.006145        115.99999       4.0000000      77.0000      30.0000      10.7500      4.00000      3.50000      9.50000      9.25000      1.75000      0.00000      0.00000      0.00000      0.00000      0.00000      145.750
2022-08-16 00:08:52.006161   2022-08-16 00:08:56.006161        120.00001       4.0000000      83.5000      27.7500      9.50000      5.25000      3.25000      10.7500      12.2500      2.50000     0.250000      0.00000      0.00000      0.00000      0.00000      155.000
2022-08-16 00:08:56.006145   2022-08-16 00:09:00.006145        123.99999       4.0000000      78.2500      27.5000      11.0000      4.50000      4.75000      11.7500      10.5000      2.50000      0.00000      0.00000      0.00000      0.00000      0.00000      150.750
2022-08-16 00:09:00.006163   2022-08-16 00:09:04.006163        128.00001       4.0000000      66.5000      28.7500      10.7500      5.25000      5.50000      7.00000      9.50000      2.75000     0.250000      0.00000      0.00000      0.00000      0.00000      136.250
2022-08-16 00:09:04.006147   2022-08-16 00:09:08.006147        132.00000       4.0000000      65.0000      23.2500      9.25000      4.75000      4.25000      9.25000      9.75000      2.75000      0.00000      0.00000      0.00000      0.00000      0.00000      128.250
2022-08-16 00:09:08.006165   2022-08-16 00:09:12.006165        136.00002       4.0000000      50.2500      30.0000      10.2500      4.25000      5.00000      10.5000      11.2500      2.50000      0.00000      0.00000      0.00000      0.00000      0.00000      124.000
2022-08-16 00:09:12.006149   2022-08-16 00:09:16.006149        140.00000       4.0000000      55.5000      28.7500      7.25000      5.75000      3.25000      12.0000      7.75000      2.75000     0.250000      0.00000      0.00000      0.00000      0.00000      123.250
2022-08-16 00:09:16.006167   2022-08-16 00:09:20.006167        144.00002       4.0000000      66.5000      28.2500      10.7500      3.75000      2.50000      9.25000      12.5000      3.25000      0.00000      0.00000      0.00000      0.00000      0.00000      136.750
2022-08-16 00:09:20.006143   2022-08-16 00:09:24.006143        147.99999       4.0000000      70.7500      31.2500      7.25000      4.00000      3.00000      8.00000      11.5000      2.75000      0.00000      0.00000      0.00000      0.00000      0.00000      138.500
2022-08-16 00:09:24.006161   2022-08-16 00:09:28.006161        152.00001       4.0000000      65.7500      32.7500      6.75000      5.00000      2.75000      8.00000      15.5000      2.00000     0.250000      0.00000      0.00000      0.00000      0.00000      138.750
2022-08-16 00:09:28.006147   2022-08-16 00:09:32.006147        156.00000       4.0000000      63.5000      31.0000      10.7500      4.75000      5.75000      12.0000      11.0000      4.75000      0.00000      0.00000      0.00000      0.00000      0.00000      143.500
2022-08-16 00:09:32.006165   2022-08-16 00:09:36.006165        160.00002       4.0000000      66.0000      30.5000      9.50000      4.00000      4.00000      11.7500      10.5000      3.75000     0.500000      0.00000      0.00000      0.00000      0.00000      140.500
2022-08-16 00:09:36.006150   2022-08-16 00:09:40.006150        164.00000       4.0000000      65.0000      27.7500      9.75000      4.25000      4.25000      10.2500      11.2500      4.00000     0.250000      0.00000      0.00000      0.00000      0.00000      136.750
2022-08-16 00:09:40.006148   2022-08-16 00:09:44.006148        168.00000       4.0000000      62.2500      24.5000      7.00000      5.75000      5.25000      8.50000      12.2500      1.75000     0.750000      0.00000      0.00000      0.00000      0.00000      128.000
2022-08-16 00:09:44.006167   2022-08-16 00:09:48.006167        172.00002       4.0000000      66.7500      28.0000      10.5000      2.75000      4.50000      12.0000      10.5000      4.50000     0.250000      0.00000      0.00000      0.00000      0.00000      139.750
2022-08-16 00:09:48.006154   2022-08-16 00:09:52.006154        176.00000       4.0000000      68.2500      34.2500      9.50000      3.50000      3.50000      8.75000      11.0000      5.50000     0.500000      0.00000      0.00000      0.00000      0.00000      144.750
2022-08-16 00:09:52.006172   2022-08-16 00:09:56.006172        180.00002       4.0000000      57.5000      30.2500      11.5000      5.75000      2.75000      11.0000      13.5000      3.00000      0.00000      0.00000      0.00000      0.00000      0.00000      135.250
2022-08-16 00:09:56.006158   2022-08-16 00:10:00.006158        184.00001       4.0000000      66.0000      27.0000      12.5000      3.00000      5.25000      12.5000      13.7500      3.00000     0.500000      0.00000      0.00000      0.00000      0.00000      143.500
2022-08-16 00:10:00.006143   2022-08-16 00:10:04.006143        187.99999       4.0000000      62.0000      30.5000      10.0000      3.75000      5.00000      12.7500      10.5000      2.75000     0.750000      0.00000      0.00000      0.00000      0.00000      138.000
2022-08-16 00:10:04.006165   2022-08-16 00:10:08.006165        192.00002       4.0000000      70.7500      27.2500      8.50000      4.75000      3.50000      9.50000      11.0000      4.75000     0.250000      0.00000      0.00000      0.00000      0.00000      140.250
2022-08-16 00:10:08.006151   2022-08-16 00:10:12.006151        196.00000       4.0000000      63.2500      31.0000      9.75000      2.75000      4.50000      10.2500      14.5000      4.50000     0.250000      0.00000      0.00000      0.00000      0.00000      140.750
2022-08-16 00:10:12.006171   2022-08-16 00:10:16.006171        200.00002       4.0000000      58.7500      32.5000      7.75000      3.25000      5.00000      10.2500      12.7500      4.25000      0.00000      0.00000      0.00000      0.00000      0.00000      134.500
2022-08-16 00:10:16.006158   2022-08-16 00:10:20.006158        204.00001       4.0000000      63.5000      38.2500      8.00000      4.25000      4.25000      10.7500      14.7500      4.25000     0.250000      0.00000      0.00000      0.00000      0.00000      148.250
2022-08-16 00:10:20.006152   2022-08-16 00:10:24.006152        208.00000       4.0000000      57.7500      28.7500      11.2500      7.00000      2.75000      10.7500      18.2500      3.75000      1.00000      0.00000      0.00000      0.00000      0.00000      141.250
2022-08-16 00:10:24.006172   2022-08-16 00:10:28.006172        212.00002       4.0000000      65.5000      23.5000      11.0000      3.75000      3.75000      9.25000      15.0000      5.25000     0.500000      0.00000      0.00000      0.00000      0.00000      137.500
2022-08-16 00:10:28.006160   2022-08-16 00:10:32.006160        216.00001       4.0000000      62.7500      28.5000      8.00000      4.25000      3.25000      12.2500      12.5000      3.25000     0.500000      0.00000      0.00000      0.00000      0.00000      135.250
2022-08-16 00:10:32.006145   2022-08-16 00:10:36.006145        219.99999       4.0000000      58.0000      27.2500      9.00000      6.00000      4.50000      14.0000      11.5000      3.50000     0.750000      0.00000      0.00000      0.00000      0.00000      134.500
2022-08-16 00:10:36.006165   2022-08-16 00:10:40.006165        224.00002       4.0000000      66.0000      32.7500      12.2500      5.50000      4.00000      11.5000      13.2500      4.50000     0.250000      0.00000      0.00000      0.00000      0.00000      150.000
2022-08-16 00:10:40.006152   2022-08-16 00:10:44.006152        228.00000       4.0000000      57.2500      33.0000      5.25000      6.25000      4.25000      12.0000      11.0000      5.25000     0.250000      0.00000      0.00000      0.00000      0.00000      134.500
2022-08-16 00:10:44.006162   2022-08-16 00:10:48.006162        232.00001       4.0000000      62.0000      30.0000      9.25000      5.25000      4.50000      11.2500      15.2500      3.75000     0.250000      0.00000      0.00000      0.00000      0.00000      141.500
2022-08-16 00:10:48.006149   2022-08-16 00:10:52.006149        236.00000       4.0000000      61.0000      28.7500      14.0000      7.75000      4.75000      12.2500      17.5000      7.75000     0.500000      0.00000      0.00000      0.00000      0.00000      154.250
2022-08-16 00:10:52.006169   2022-08-16 00:10:56.006169        240.00002       4.0000000      62.5000      23.2500      9.25000      5.50000      3.25000      15.7500      17.5000      3.25000      0.00000     0.250000      0.00000      0.00000      0.00000      140.500
2022-08-16 00:10:56.006154   2022-08-16 00:11:00.006154        244.00000       4.0000000      59.0000      29.7500      10.2500      5.00000      2.25000      15.7500      14.7500      5.25000     0.750000      0.00000      0.00000      0.00000      0.00000      142.750
2022-08-16 00:11:00.006145   2022-08-16 00:11:04.006145        247.99999       4.0000000      67.5000      31.0000      10.5000      6.50000      5.25000      11.0000      15.2500      5.50000     0.500000      0.00000      0.00000      0.00000      0.00000      153.000
2022-08-16 00:11:04.006162   2022-08-16 00:11:08.006162        252.00001       4.0000000      58.5000      30.0000      9.50000      3.75000      3.25000      12.7500      13.0000      3.75000     0.750000      0.00000      0.00000      0.00000      0.00000      135.250
2022-08-16 00:11:08.006162   2022-08-16 00:11:12.006162        256.00001       4.0000000      63.0000      32.5000      11.0000      4.75000      5.00000      10.2500      14.0000      5.75000     0.500000      0.00000      0.00000      0.00000      0.00000      146.750
2022-08-16 00:11:12.006149   2022-08-16 00:11:16.006149        260.00000       4.0000000      56.0000      29.2500      9.00000      5.00000      5.75000      13.7500      13.0000      6.50000     0.250000      0.00000      0.00000      0.00000      0.00000      138.500
2022-08-16 00:11:16.006169   2022-08-16 00:11:20.006169        264.00002       4.0000000      63.7500      32.5000      11.0000      6.25000      4.25000      15.2500      15.2500      5.00000     0.500000      0.00000      0.00000      0.00000      0.00000      153.750
2022-08-16 00:11:20.006154   2022-08-16 00:11:24.006154        268.00000       4.0000000      56.7500      28.0000      13.2500      8.50000      3.25000      11.0000      20.2500      7.00000      0.00000      0.00000      0.00000      0.00000      0.00000      148.000
2022-08-16 00:11:24.006142   2022-08-16 00:11:28.006142        271.99999       4.0000000      58.0000      33.0000      10.2500      5.75000      5.75000      12.2500      15.5000      7.00000     0.750000      0.00000      0.00000      0.00000      0.00000      148.250
2022-08-16 00:11:28.006158   2022-08-16 00:11:32.006158        276.00001       4.0000000      64.0000      33.5000      10.2500      4.75000      4.00000      12.0000      15.5000      5.00000      0.00000      0.00000      0.00000      0.00000      0.00000      149.000
2022-08-16 00:11:32.006143   2022-08-16 00:11:36.006143        279.99999       4.0000000      60.7500      28.5000      8.25000      5.00000      5.75000      13.7500      17.0000      4.75000     0.500000      0.00000      0.00000      0.00000      0.00000      144.250
2022-08-16 00:11:36.006159   2022-08-16 00:11:40.006159        284.00001       4.0000000      61.0000      30.2500      10.2500      5.00000      4.75000      14.7500      12.7500      9.00000      1.50000      0.00000      0.00000      0.00000      0.00000      149.250
2022-08-16 00:11:40.006145   2022-08-16 00:11:44.006145        287.99999       4.0000000      61.2500      33.2500      11.0000      5.00000      4.25000      15.2500      16.7500      5.25000     0.750000      0.00000      0.00000      0.00000      0.00000      152.750
2022-08-16 00:11:44.006162   2022-08-16 00:11:48.006162        292.00001       4.0000000      64.5000      28.2500      10.0000      4.25000      6.00000      18.2500      16.5000      5.50000     0.500000     0.250000      0.00000      0.00000      0.00000      154.000
2022-08-16 00:11:48.006150   2022-08-16 00:11:52.006150        296.00000       4.0000000      66.2500      33.0000      11.2500      4.50000      6.75000      17.0000      16.2500      3.25000     0.500000      0.00000      0.00000      0.00000      0.00000      158.750
2022-08-16 00:11:52.006141   2022-08-16 00:11:56.006141        299.99999       4.0000000      66.5000      30.2500      9.00000      5.25000      5.25000      12.2500      18.5000      4.50000      1.25000      0.00000      0.00000      0.00000      0.00000      152.750

