                start_time                     end_time   sec_from_start        exposure       rate_1       rate_2       rate_3       rate_4       rate_5       rate_6       rate_7     rate_sum
                       ---                          ---              ---             ---    70-110keV   110-240keV   240-370keV   370-500keV   500-630keV   630-760keV   760-890keV    70-890keV
                     (UTC)                        (UTC)              (s)             (s)      (cnt/s)      (cnt/s)      (cnt/s)      (cnt/s)      (cnt/s)      (cnt/s)      (cnt/s)      (cnt/s)
2022-08-29 14:37:42.900639   2022-08-29 14:37:45.900639        93.000003       3.0000000      61.3333      65.0000      17.0000      55.0000      14.3333      0.00000      0.00000      212.667
2022-08-29 14:37:45.900646   2022-08-29 14:37:48.900646        96.000010       3.0000000      72.3333      79.3333      17.6667      48.3333      11.6667      0.00000      0.00000      229.333
2022-08-29 14:37:48.900654   2022-08-29 14:37:51.900654        99.000018       3.0000000      117.333      117.000      20.3333      59.6667      17.3333      0.00000      0.00000      331.667
2022-08-29 14:37:51.900660   2022-08-29 14:37:54.900660        102.00002       3.0000000      127.333      103.000      26.0000      52.6667      14.3333      0.00000      0.00000      323.333
2022-08-29 14:37:54.900637   2022-08-29 14:37:57.900637        105.00000       3.0000000      84.6667      81.0000      17.3333      50.6667      13.6667      0.00000      0.00000      247.333
2022-08-29 14:37:57.900637   2022-08-29 14:38:00.900637        108.00000       3.0000000      81.6667      74.0000      19.6667      44.3333      13.6667      0.00000      0.00000      233.333
2022-08-29 14:38:00.900644   2022-08-29 14:38:03.900644        111.00001       3.0000000      83.3333      66.3333      13.0000      49.0000      11.6667      0.00000      0.00000      223.333
2022-08-29 14:38:03.900651   2022-08-29 14:38:06.900651        114.00002       3.0000000      66.0000      62.0000      13.0000      48.6667      11.3333      0.00000      0.00000      201.000
2022-08-29 14:38:06.900660   2022-08-29 14:38:09.900660        117.00002       3.0000000      60.3333      54.3333      21.6667      51.0000      10.0000      0.00000      0.00000      197.333
2022-08-29 14:38:09.900638   2022-08-29 14:38:12.900638        120.00000       3.0000000      66.0000      53.0000      16.0000      61.0000      13.0000      0.00000      0.00000      209.000
2022-08-29 14:38:12.900646   2022-08-29 14:38:15.900646        123.00001       3.0000000      62.0000      63.0000      15.6667      57.6667      16.3333      0.00000      0.00000      214.667
2022-08-29 14:38:15.900654   2022-08-29 14:38:18.900654        126.00002       3.0000000      72.6667      57.3333      21.3333      49.3333      15.0000      0.00000      0.00000      215.667
2022-08-29 14:38:18.900660   2022-08-29 14:38:21.900660        129.00002       3.0000000      61.0000      56.0000      20.6667      64.3333      18.3333      0.00000      0.00000      220.333
2022-08-29 14:38:21.900639   2022-08-29 14:38:24.900639        132.00000       3.0000000      61.3333      55.3333      21.0000      55.0000      18.6667      0.00000      0.00000      211.333
2022-08-29 14:38:24.900647   2022-08-29 14:38:27.900647        135.00001       3.0000000      61.3333      65.3333      22.6667      51.0000      15.6667      0.00000      0.00000      216.000
2022-08-29 14:38:27.900656   2022-08-29 14:38:30.900656        138.00002       3.0000000      65.6667      63.0000      19.6667      49.0000      14.3333     0.333333      0.00000      212.000
2022-08-29 14:38:30.900635   2022-08-29 14:38:33.900635        141.00000       3.0000000      63.3333      58.6667      22.0000      50.6667      15.3333     0.333333      0.00000      210.333
2022-08-29 14:38:33.900643   2022-08-29 14:38:36.900643        144.00001       3.0000000      54.0000      71.0000      21.0000      57.6667      18.6667      0.00000      0.00000      222.333
2022-08-29 14:38:36.900656   2022-08-29 14:38:39.900656        147.00002       3.0000000      57.6667      55.3333      18.3333      59.6667      14.0000     0.666667      0.00000      205.667
2022-08-29 14:38:39.900636   2022-08-29 14:38:42.900636        150.00000       3.0000000      54.3333      58.6667      23.0000      49.3333      18.0000     0.333333      0.00000      203.667
2022-08-29 14:38:42.900644   2022-08-29 14:38:45.900644        153.00001       3.0000000      62.0000      53.6667      17.6667      59.0000      19.6667      0.00000      0.00000      212.000
2022-08-29 14:38:45.900652   2022-08-29 14:38:48.900652        156.00002       3.0000000      67.3333      58.6667      22.6667      61.3333      21.3333     0.333333      0.00000      231.667
2022-08-29 14:38:48.900659   2022-08-29 14:38:51.900659        159.00002       3.0000000      70.6667      64.0000      23.0000      62.6667      20.6667     0.333333      0.00000      241.333
